"ID (optional, see documentation)",Label (required),"Form Type (required, see documentation)","Tab/Fieldset ID (optional, see documentation)",Help Text (optional),ToDoScript ID (optional),ToDoScript Metadata (optional),"Choices (required*, see documentation)","Repeat for each (optional, see documentation)","Required (default: no, yes/no)"
7008420,Action,Tab,,,"","",,,no
7008421,Policy Review,Fieldset,7008420,"The following criteria are used to evaluate this policy. In addition to the recommended changes made by the business unit owner, please indicate any changes since the last review of this policy. If there are any additional amendments needed and other notable comments, input them in the appropriate Comment box provided below.","","",,,no
7008422,Update to Policy,Fieldset,7008420,"","","",,,no
7008423,Were there any changes in the environment?,Radio Button,7008421,"For example: new hardware, branches/departments, regulations, third party products/services/applications utilized, vendors, etc.","","","Yes, No",,yes
7008424,Comments regarding any changes in the environment:,Text (multi-line),7008421,"","","",,,no
7008425,Were any responsibilities added or changed?,Radio Button,7008421,"","","","Yes, No",,yes
7008426,Comments regarding any responsibilities added or changed:,Text (multi-line),7008421,"","","",,,no
7008427,Were there any other miscellaneous changes?,Radio Button,7008421,"","","","Yes, No",,yes
7008428,Comments regarding any miscellaneous changes:,Text (multi-line),7008421,"","","",,,no
7008429,"Based on your answers to the above questions, are any additional changes to the policy document required?",Radio Button,7008422,"","","","Yes, No",,yes
